timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737477891524,682,-38,200,OK,Thread Group 1-6,text,true,,5383,3089,6,6,https://betamg.ghtcorptest.com/(S(5pipwattbjl42b2bhilfunjb))/Default_new.aspx,550,0,313
1737477891524,551,-38-0,302,Found,Thread Group 1-6,text,true,,800,2164,6,6,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,550,0,313
1737477892076,130,-38-1,200,OK,Thread Group 1-6,text,true,,4583,925,6,6,https://betamg.ghtcorptest.com/(S(5pipwattbjl42b2bhilfunjb))/Default_new.aspx,130,0,0
1737477892088,118,-138,200,OK,Thread Group 1-2,text,true,,2003,717,6,6,https://betamg.ghtcorptest.com/Images/Menu/Inventory.svg,118,0,0
1737477892080,127,-127,200,OK,Thread Group 1-3,text,true,,2355,713,6,6,https://betamg.ghtcorptest.com/Images/Menu/Sales.svg,127,0,0
1737477892092,126,-121,200,OK,Thread Group 1-4,text,true,,1645,717,6,6,https://betamg.ghtcorptest.com/Images/Menu/Customers.svg,126,0,0
1737477891724,494,-68,200,OK,Thread Group 1-5,text,true,,3475,2477,6,6,https://betamg.ghtcorptest.com/(S(z3ezgqvosakfaj0lxhfobzyh))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,140,0,0
1737477891724,140,-68-0,302,Found,Thread Group 1-5,text,true,,406,810,6,6,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/General/MenuHtml5.aspx,140,0,0
1737477891865,221,-68-1,302,Found,Thread Group 1-5,text,true,,553,810,6,6,https://betamg.ghtcorptest.com/(S(z3ezgqvosakfaj0lxhfobzyh))/General/MenuHtml5.aspx,221,0,0
1737477892087,131,-68-2,200,OK,Thread Group 1-5,text,true,,2516,857,6,6,https://betamg.ghtcorptest.com/(S(z3ezgqvosakfaj0lxhfobzyh))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,131,0,0
1737477892207,130,-128,200,OK,Thread Group 1-3,text,true,,1859,728,6,6,https://betamg.ghtcorptest.com/Images/Menu/AuthorizationCentral.svg,130,0,0
1737477892207,130,-140,200,OK,Thread Group 1-1,text,true,,2310,718,6,6,https://betamg.ghtcorptest.com/Images/Menu/Accounting.svg,130,0,0
1737477892207,131,-141,200,OK,Thread Group 1-2,text,true,,1654,716,6,6,https://betamg.ghtcorptest.com/Images/Menu/Products.svg,130,0,0
1737477892219,123,-122,200,OK,Thread Group 1-4,text,true,,1850,716,6,6,https://betamg.ghtcorptest.com/Images/Menu/Provider.svg,122,0,0
1737477892337,164,-129,200,OK,Thread Group 1-3,text,true,,1979,711,6,6,https://betamg.ghtcorptest.com/Images/Menu/INV.svg,164,0,0
1737477892338,164,-140,200,OK,Thread Group 1-2,text,true,,2310,718,6,6,https://betamg.ghtcorptest.com/Images/Menu/Accounting.svg,163,0,0
1737477892342,160,-124,200,OK,Thread Group 1-4,text,true,,1795,715,6,6,https://betamg.ghtcorptest.com/Images/Menu/Flowers.svg,160,0,0
1737477892207,296,-39,200,OK,Thread Group 1-6,text,true,,5755,1658,6,6,https://betamg.ghtcorptest.com/(S(lzoqgmkxbfgy4cop3emtaggm))/Main.aspx,131,0,0
1737477892207,131,-39-0,302,Found,Thread Group 1-6,text,true,,380,829,6,6,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Main.aspx,131,0,0
1737477892338,165,-39-1,200,OK,Thread Group 1-6,text,true,,5375,829,6,6,https://betamg.ghtcorptest.com/(S(lzoqgmkxbfgy4cop3emtaggm))/Main.aspx,165,0,0
1737477892337,167,-139,200,OK,Thread Group 1-1,text,true,,2947,716,6,6,https://betamg.ghtcorptest.com/Images/Menu/Shipping.svg,167,0,0
1737477892219,288,-67,200,OK,Thread Group 1-5,text,true,,2038,1634,6,6,https://betamg.ghtcorptest.com/(S(mqnvypuvhs32hpjfmhvnuedf))/DefaultPages/DefaultHome.aspx,149,0,0
1737477892219,149,-67-0,302,Found,Thread Group 1-5,text,true,,420,817,6,6,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/DefaultPages/DefaultHome.aspx,149,0,0
1737477892368,139,-67-1,200,OK,Thread Group 1-5,text,true,,1618,817,6,6,https://betamg.ghtcorptest.com/(S(mqnvypuvhs32hpjfmhvnuedf))/DefaultPages/DefaultHome.aspx,139,0,0
1737477892502,137,-123,200,OK,Thread Group 1-4,text,true,,1590,723,7,7,https://betamg.ghtcorptest.com/Images/Menu/ExportableOffer.svg,137,0,0
1737477892508,131,-114,200,OK,Thread Group 1-5,text,true,,1748,718,7,7,https://betamg.ghtcorptest.com/Images/Menu/HelpCenter.svg,131,0,0
1737477892502,138,-130,200,OK,Thread Group 1-3,text,true,,2682,719,7,7,https://betamg.ghtcorptest.com/Images/Menu/Propagation.svg,138,0,0
1737477892502,143,-139,200,OK,Thread Group 1-2,text,true,,2947,716,7,7,https://betamg.ghtcorptest.com/Images/Menu/Shipping.svg,143,0,0
1737477892504,155,-137,200,OK,Thread Group 1-1,text,true,,23425,746,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Fonts/Titillium/Titillium-RegularUpright.woff2,142,0,0
1737477892640,127,-115,200,OK,Thread Group 1-5,text,true,,1397,716,7,7,https://betamg.ghtcorptest.com/Images/Menu/Security.svg,127,0,0
1737477892640,133,-132,200,OK,Thread Group 1-3,text,true,,1904,719,7,7,https://betamg.ghtcorptest.com/Images/Menu/PostHarvest.svg,133,0,0
1737477892640,134,-125,200,OK,Thread Group 1-4,text,true,,2047,720,7,7,https://betamg.ghtcorptest.com/Images/Menu/Procurements.svg,134,0,0
1737477892646,140,-137,200,OK,Thread Group 1-2,text,true,,23425,746,7,7,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Fonts/Titillium/Titillium-RegularUpright.woff2,128,0,0
